ID	adj.P.Val	P.Value	t	B	logFC	Symbol
ILMN_1671626	3.38e-01	1.55e-01	1.44667	-5.300669	0.8377292	DLGAP3
ILMN_1702305	3.38e-01	1.55e-01	1.446625	-5.300731	0.7803333	NCAM1
ILMN_2201580	3.38e-01	1.55e-01	1.446581	-5.300791	0.4425917	GSTM2
ILMN_1716553	3.38e-01	1.55e-01	-1.44649	-5.300914	-0.7896458	KIF23
ILMN_1747279	3.38e-01	1.55e-01	1.446462	-5.300953	0.4195917	ZNF648
ILMN_1773760	3.38e-01	1.55e-01	-1.446443	-5.300979	-0.6981917	PAICS
ILMN_1766505	3.38e-01	1.55e-01	-1.446425	-5.301003	-0.4225625	COMMD10
ILMN_1748019	3.38e-01	1.55e-01	1.446417	-5.301014	0.5015958	OR10W1
ILMN_2402341	3.38e-01	1.55e-01	-1.446324	-5.301141	-0.5652583	MAPK3
ILMN_1773643	3.38e-01	1.55e-01	-1.446289	-5.301188	-0.57825	SLC38A9
ILMN_1727833	3.38e-01	1.55e-01	1.446241	-5.301254	0.3947708	KIF19
ILMN_1680434	3.38e-01	1.55e-01	1.446155	-5.301372	0.4117375	MAPK8IP1
ILMN_1658123	3.38e-01	1.56e-01	1.446142	-5.301388	0.4242417	DAZ2
ILMN_3310930	3.38e-01	1.56e-01	1.44613	-5.301405	0.4203583	MIR519E
ILMN_1703049	3.38e-01	1.56e-01	1.446095	-5.301452	0.6135958	AKAP7
ILMN_1706672	3.38e-01	1.56e-01	1.445994	-5.30159	0.603875	TAS2R16
ILMN_1759261	3.38e-01	1.56e-01	1.445984	-5.301605	0.7138167	C16orf55
ILMN_1728121	3.38e-01	1.56e-01	1.445921	-5.301691	0.5931042	OR10R2
ILMN_1748751	3.38e-01	1.56e-01	1.445911	-5.301704	0.6470458	NLF2
ILMN_1782993	3.38e-01	1.56e-01	1.44589	-5.301733	0.4070375	DHODH
ILMN_2360047	3.38e-01	1.56e-01	1.445843	-5.301797	0.4000042	MAGEA11
ILMN_1663962	3.38e-01	1.56e-01	1.445783	-5.301878	0.4116625	LOC441233
ILMN_1798467	3.38e-01	1.56e-01	-1.445759	-5.30191	-0.6812375	FRYL
ILMN_2159203	3.38e-01	1.56e-01	1.445757	-5.301913	0.4259333	KRTAP5-5
ILMN_1719093	3.38e-01	1.56e-01	1.445751	-5.301922	0.50795	KLRC4
ILMN_2098705	3.38e-01	1.56e-01	1.445717	-5.301968	0.553225	FAM9C
ILMN_2067303	3.38e-01	1.56e-01	1.445585	-5.302149	0.4181958	PBOV1
ILMN_3245209	3.38e-01	1.56e-01	1.445464	-5.302313	0.4033792	MT1IP
ILMN_1722642	3.38e-01	1.56e-01	-1.445343	-5.302478	-0.5017	REEP3
ILMN_1652170	3.38e-01	1.56e-01	1.44534	-5.302482	0.8116875	LOC649159
ILMN_3310186	3.38e-01	1.56e-01	1.445309	-5.302524	0.4212	MIR106B
ILMN_1681601	3.38e-01	1.56e-01	1.445269	-5.302579	0.4081375	SUCNR1
ILMN_2245292	3.38e-01	1.56e-01	1.445086	-5.302828	0.4958375	TGIF1
ILMN_1654365	3.38e-01	1.56e-01	1.445036	-5.302896	0.5391375	LOC440742
ILMN_3230546	3.38e-01	1.56e-01	1.445022	-5.302915	0.4147	TMEM232
ILMN_3248891	3.38e-01	1.56e-01	1.445018	-5.30292	0.4196208	GLB1L3
ILMN_2197228	3.38e-01	1.56e-01	1.444967	-5.302989	0.4241208	DEFB122
ILMN_1745801	3.38e-01	1.56e-01	1.444942	-5.303024	0.421475	OR2K2
ILMN_1725247	3.38e-01	1.56e-01	1.444864	-5.30313	0.6448333	GTF2A1
ILMN_1673493	3.38e-01	1.56e-01	1.444741	-5.303297	0.4168125	GABRB3
ILMN_1734176	3.38e-01	1.56e-01	1.44474	-5.303299	0.4700833	CGA
ILMN_2391245	3.38e-01	1.56e-01	1.444724	-5.303321	0.4022375	PABPC5
ILMN_2401457	3.38e-01	1.56e-01	1.444662	-5.303406	0.4158792	SLC7A3
ILMN_1727272	3.38e-01	1.56e-01	1.444579	-5.303518	0.557775	CCT8L2
ILMN_1679984	3.38e-01	1.56e-01	1.444555	-5.303551	0.4215958	ZCCHC12
ILMN_2415179	3.38e-01	1.56e-01	-1.444474	-5.303661	-0.6673208	CLSTN1
ILMN_2106874	3.38e-01	1.56e-01	1.444362	-5.303813	0.4142042	CACNG8
ILMN_1656303	3.38e-01	1.56e-01	1.444316	-5.303877	0.5294083	SNORD28
ILMN_1745134	3.38e-01	1.56e-01	1.444296	-5.303903	0.6490833	TMEM16D
ILMN_2180677	3.38e-01	1.56e-01	1.444287	-5.303915	0.4447583	ARMCX1
ILMN_1666823	3.38e-01	1.56e-01	1.444166	-5.304081	0.6180167	KRTAP23-1
ILMN_1780047	3.38e-01	1.56e-01	1.444085	-5.30419	0.4194583	PLEKHG5
ILMN_2291565	3.38e-01	1.56e-01	1.443989	-5.304322	0.4140917	CT45A5
ILMN_1811433	3.38e-01	1.56e-01	-1.443975	-5.304341	-0.6864583	RPL8
ILMN_2107344	3.38e-01	1.56e-01	1.443971	-5.304346	0.6789708	FLJ46347
ILMN_1669988	3.38e-01	1.56e-01	1.443948	-5.304377	0.4128583	OR7E24
ILMN_1757053	3.38e-01	1.56e-01	1.44381	-5.304565	0.739675	PAX3
ILMN_3246673	3.38e-01	1.56e-01	1.443788	-5.304594	0.5787333	AMAC1L3
ILMN_1771799	3.38e-01	1.56e-01	1.443703	-5.304711	0.463525	ZNF708
ILMN_3246544	3.38e-01	1.56e-01	1.443596	-5.304856	0.4134083	OSTCL
ILMN_1697460	3.38e-01	1.56e-01	1.443539	-5.304934	0.6951792	REEP6
ILMN_1655930	3.38e-01	1.56e-01	1.443375	-5.305157	0.6268625	ELL2
ILMN_3309674	3.38e-01	1.56e-01	1.443261	-5.305312	0.4189792	MIR376A2
ILMN_3234751	3.38e-01	1.56e-01	1.443243	-5.305336	0.5875083	SNORD103A
ILMN_1782274	3.38e-01	1.56e-01	1.44314	-5.305476	0.529925	NYX
ILMN_3223807	3.38e-01	1.56e-01	1.443076	-5.305563	0.6075667	VENTXP1
ILMN_1673982	3.38e-01	1.56e-01	1.443052	-5.305597	0.5867333	C11orf40
ILMN_2319344	3.38e-01	1.56e-01	1.442901	-5.305801	0.655925	APEX1
ILMN_2399431	3.38e-01	1.56e-01	-1.442855	-5.305864	-0.6300833	PRPS2
ILMN_2228453	3.38e-01	1.56e-01	-1.44285	-5.305872	-0.5229833	KIAA0562
ILMN_2387784	3.38e-01	1.56e-01	1.442849	-5.305872	0.4861125	DEAF1
ILMN_1667047	3.38e-01	1.56e-01	-1.442844	-5.305879	-0.4789292	TRPM7
ILMN_3309234	3.38e-01	1.56e-01	1.44283	-5.305898	0.4138542	MIR181D
ILMN_1763422	3.38e-01	1.56e-01	1.442823	-5.305908	0.657775	OR6C65
ILMN_1793712	3.38e-01	1.56e-01	1.442663	-5.306125	0.5843583	SCAMP3
ILMN_1767658	3.39e-01	1.57e-01	-1.44253	-5.306307	-0.4821208	RRS1
ILMN_1653158	3.39e-01	1.57e-01	1.442525	-5.306313	0.5496125	DPRX
ILMN_1780762	3.39e-01	1.57e-01	1.442431	-5.306441	0.4121042	OR9Q2
ILMN_1689098	3.39e-01	1.57e-01	1.44242	-5.306456	0.5101	ATP1A3
ILMN_1706873	3.39e-01	1.57e-01	-1.442346	-5.306557	-0.5977292	RPL34
ILMN_1786908	3.39e-01	1.57e-01	1.442343	-5.30656	0.5959167	KRTAP26-1
ILMN_1684699	3.39e-01	1.57e-01	1.442306	-5.306611	0.4183083	ELF5
ILMN_1750633	3.39e-01	1.57e-01	1.442286	-5.306638	0.5914625	HYDIN
ILMN_2410540	3.39e-01	1.57e-01	-1.442232	-5.306711	-0.621675	CASP2
ILMN_2053527	3.39e-01	1.57e-01	1.442194	-5.306762	0.3534667	PARP9
ILMN_1716967	3.39e-01	1.57e-01	1.442158	-5.306812	0.7907708	RNASE8
ILMN_1702205	3.39e-01	1.57e-01	1.442134	-5.306845	0.3825792	PCDHA5
ILMN_2075067	3.39e-01	1.57e-01	1.441703	-5.30743	0.4046917	DIO3
ILMN_1672302	3.39e-01	1.57e-01	1.441684	-5.307456	0.393925	STK32C
ILMN_1773243	3.39e-01	1.57e-01	1.441657	-5.307493	0.407725	ACER1
ILMN_1713139	3.39e-01	1.57e-01	1.441628	-5.307532	0.4153875	DLGAP2
ILMN_2403896	3.39e-01	1.57e-01	1.441549	-5.30764	0.4088958	GGTLC2
ILMN_2412192	3.39e-01	1.57e-01	1.441489	-5.307722	0.6761583	CFH
ILMN_1783225	3.39e-01	1.57e-01	1.441465	-5.307753	0.7015292	OR51F2
ILMN_1766544	3.39e-01	1.57e-01	1.44145	-5.307774	0.5704792	ZFP28
ILMN_1743371	3.39e-01	1.57e-01	1.441159	-5.30817	0.4078875	ABHD1
ILMN_1655849	3.39e-01	1.57e-01	1.441095	-5.308256	0.4222125	GSC
ILMN_1694776	3.39e-01	1.57e-01	-1.441091	-5.308262	-0.6616917	SCP2
ILMN_3309011	3.39e-01	1.57e-01	1.441063	-5.3083	0.4182917	MIR498
ILMN_1769769	3.39e-01	1.57e-01	1.441062	-5.308302	0.4076667	CDKL4
ILMN_3304974	3.39e-01	1.57e-01	1.441024	-5.308353	0.4095625	RNF216L
ILMN_3244276	3.39e-01	1.57e-01	1.440987	-5.308403	0.4046792	LOC415056
ILMN_1663975	3.39e-01	1.57e-01	1.440964	-5.308434	0.5875833	CNNM2
ILMN_1765668	3.39e-01	1.57e-01	1.440792	-5.308669	0.41785	IL20RB
ILMN_1799669	3.39e-01	1.57e-01	1.440661	-5.308846	0.7810333	PSORS1C1
ILMN_2097259	3.39e-01	1.57e-01	1.440498	-5.309067	0.4379958	CYP2U1
ILMN_1781389	3.39e-01	1.57e-01	1.440489	-5.30908	0.4069292	PGLYRP4
ILMN_1675941	3.39e-01	1.57e-01	1.440482	-5.309089	0.6241792	DUSP15
ILMN_1747451	3.39e-01	1.57e-01	-1.440437	-5.30915	-0.5011167	PLCXD1
ILMN_2388445	3.39e-01	1.57e-01	1.440396	-5.309205	0.4034125	DLX1
ILMN_1665714	3.39e-01	1.57e-01	1.440392	-5.309211	0.499625	C4orf22
ILMN_2214594	3.39e-01	1.57e-01	1.440374	-5.309236	0.3997833	DEFB107A
ILMN_1709936	3.39e-01	1.57e-01	1.440367	-5.309246	0.4078	LOC90624
ILMN_1742195	3.39e-01	1.57e-01	1.440196	-5.309478	0.4143708	GABRE
ILMN_1674036	3.39e-01	1.57e-01	1.440179	-5.309501	0.4172208	BIRC7
ILMN_1806366	3.39e-01	1.57e-01	1.440121	-5.309579	0.4164875	ENOX2
ILMN_2412294	3.39e-01	1.57e-01	1.440111	-5.309593	0.5051667	GNB5
ILMN_1809597	3.39e-01	1.57e-01	1.44011	-5.309595	0.4696083	C12orf40
ILMN_1686083	3.39e-01	1.57e-01	1.440064	-5.309658	0.4460083	MAGEA11
ILMN_2098499	3.39e-01	1.57e-01	1.440053	-5.309672	0.4595958	TTTY12
ILMN_1666049	3.39e-01	1.57e-01	1.440041	-5.309688	0.8348125	NUP214
ILMN_1679438	3.39e-01	1.57e-01	-1.440017	-5.309721	-0.5838708	MLF1IP
ILMN_1739032	3.39e-01	1.57e-01	1.439992	-5.309754	0.3912333	TMEM70
ILMN_1693939	3.39e-01	1.57e-01	1.439932	-5.309836	0.4045	OIT3
ILMN_1653814	3.39e-01	1.57e-01	1.439898	-5.309882	0.41385	HBBP1
ILMN_3245616	3.39e-01	1.57e-01	1.439862	-5.309931	0.5380667	CWC22
ILMN_1772514	3.39e-01	1.57e-01	1.439808	-5.310004	0.5577208	TMEM132E
ILMN_1726273	3.39e-01	1.57e-01	1.439767	-5.31006	0.71705	ATP6V1G3
ILMN_1783443	3.39e-01	1.57e-01	1.439751	-5.310081	0.4058167	ALOX15
ILMN_1759411	3.39e-01	1.57e-01	-1.439657	-5.310209	-0.6122625	C16orf79
ILMN_3248575	3.39e-01	1.57e-01	1.439646	-5.310225	0.6489125	SNORA42
ILMN_1667790	3.39e-01	1.57e-01	1.439497	-5.310426	0.4123875	C21orf100
ILMN_1793351	3.39e-01	1.57e-01	1.439484	-5.310444	0.4096125	LOC643842
ILMN_1803988	3.39e-01	1.57e-01	1.439362	-5.31061	0.6332875	MCL1
ILMN_2281186	3.39e-01	1.57e-01	1.439305	-5.310687	0.3950625	RGNEF
ILMN_3308350	3.39e-01	1.57e-01	1.4393	-5.310694	0.4125083	MIR548E
ILMN_1765636	3.39e-01	1.57e-01	1.439188	-5.310846	0.4098333	FLJ22184
ILMN_1787908	3.39e-01	1.57e-01	1.439186	-5.310848	0.6113083	ADAMTS20
ILMN_1680016	3.39e-01	1.57e-01	1.439109	-5.310953	0.4168375	SLCO1A2
ILMN_3309734	3.39e-01	1.57e-01	1.439091	-5.310978	0.4118042	MIR580
ILMN_1735278	3.39e-01	1.58e-01	1.439008	-5.31109	0.5963125	OR13C3
ILMN_1703844	3.39e-01	1.58e-01	1.439	-5.311101	0.4146708	DYNC1LI1
ILMN_2208435	3.39e-01	1.58e-01	1.438896	-5.311242	0.408	CLDN16
ILMN_1727144	3.39e-01	1.58e-01	1.438892	-5.311248	0.4045	BIRC8
ILMN_2175455	3.39e-01	1.58e-01	1.438888	-5.311252	0.5578625	CYP2A13
ILMN_1715372	3.39e-01	1.58e-01	-1.438754	-5.311435	-0.5623833	CAMKK1
ILMN_3236543	3.39e-01	1.58e-01	1.438741	-5.311453	0.4189875	FRG1B
ILMN_1707668	3.39e-01	1.58e-01	1.438726	-5.311473	0.4694167	TAS2R42
ILMN_2382309	3.39e-01	1.58e-01	1.438703	-5.311503	0.4319667	TCL1B
ILMN_3307921	3.39e-01	1.58e-01	1.438592	-5.311655	0.5721375	PGLYRP2
ILMN_2379240	3.39e-01	1.58e-01	-1.43853	-5.311738	-0.4012	RGS11
ILMN_1718731	3.39e-01	1.58e-01	1.438471	-5.311819	0.5806875	KLK5
ILMN_1798433	3.39e-01	1.58e-01	1.438419	-5.311889	0.7700625	LNPEP
ILMN_3310690	3.39e-01	1.58e-01	1.43834	-5.311996	0.41575	MIR510
ILMN_1712929	3.39e-01	1.58e-01	1.438303	-5.312046	0.68135	DNAJB12
ILMN_1795266	3.39e-01	1.58e-01	1.43827	-5.312091	0.7115708	EMILIN3
ILMN_1672161	3.39e-01	1.58e-01	1.43826	-5.312105	0.5808833	ARPP-21
ILMN_2096467	3.39e-01	1.58e-01	1.438241	-5.312131	0.4085583	C8orf74
ILMN_1665471	3.39e-01	1.58e-01	1.438184	-5.312207	0.4127625	C2orf54
ILMN_1718610	3.39e-01	1.58e-01	-1.438135	-5.312275	-0.6699875	ARHGAP17
ILMN_1676625	3.39e-01	1.58e-01	-1.438126	-5.312286	-0.4118417	SS18L1
ILMN_1791771	3.39e-01	1.58e-01	1.438068	-5.312366	0.7443833	HCK
ILMN_2292334	3.39e-01	1.58e-01	1.437991	-5.31247	0.5073	UBTF
ILMN_1700231	3.39e-01	1.58e-01	-1.437959	-5.312514	-0.5965042	IP6K1
ILMN_1677392	3.39e-01	1.58e-01	1.437721	-5.312835	0.4194667	KRTAP10-7
ILMN_1695108	3.39e-01	1.58e-01	1.437711	-5.312849	0.5868542	RSPO2
ILMN_2364819	3.39e-01	1.58e-01	1.437694	-5.312873	0.4472	USP44
ILMN_3308673	3.39e-01	1.58e-01	1.437646	-5.312937	0.4085167	MIR624
ILMN_1725485	3.39e-01	1.58e-01	-1.437621	-5.312971	-0.5385833	RGS17
ILMN_1737096	3.39e-01	1.58e-01	1.437505	-5.313128	0.4088542	CLDN10
ILMN_1796235	3.39e-01	1.58e-01	1.437499	-5.313137	0.5554792	CIRH1A
ILMN_3235143	3.39e-01	1.58e-01	1.437434	-5.313224	0.3992792	LOC731779
ILMN_1750625	3.39e-01	1.58e-01	1.437425	-5.313237	0.5338208	RSPO4
ILMN_1697512	3.39e-01	1.58e-01	1.437329	-5.313366	0.4151208	SLC32A1
ILMN_1797063	3.39e-01	1.58e-01	1.437306	-5.313398	0.5757792	TRHDE
ILMN_1794840	3.39e-01	1.58e-01	1.437305	-5.313399	0.5645	TBXA2R
ILMN_1764216	3.39e-01	1.58e-01	1.437112	-5.313661	0.560925	OR5F1
ILMN_3240721	3.39e-01	1.58e-01	1.436992	-5.313824	0.384275	LOC645233
ILMN_1757152	3.39e-01	1.58e-01	1.436942	-5.313891	0.4241708	MAGEC2
ILMN_3310040	3.39e-01	1.58e-01	1.436833	-5.31404	0.5769208	MIR7-3
ILMN_3310088	3.39e-01	1.58e-01	1.436735	-5.314172	0.415125	MIR1827
ILMN_1773586	3.39e-01	1.58e-01	1.436677	-5.31425	0.5847958	SLC17A2
ILMN_2089167	3.39e-01	1.58e-01	1.436564	-5.314403	0.5563708	RHOD
ILMN_1765994	3.39e-01	1.58e-01	1.436555	-5.314416	0.6838708	ZBP1
ILMN_1705144	3.39e-01	1.58e-01	1.436547	-5.314426	0.5670583	ULK1
ILMN_3200882	3.39e-01	1.58e-01	1.436503	-5.314486	0.4043625	LOC151658
ILMN_1668533	3.39e-01	1.58e-01	1.436432	-5.314582	0.4114208	UROC1
ILMN_1695003	3.39e-01	1.58e-01	1.436414	-5.314607	0.4033833	PCSK2
ILMN_1670719	3.39e-01	1.58e-01	1.436372	-5.314664	0.6785167	TPD52L1
ILMN_1803412	3.39e-01	1.58e-01	-1.436342	-5.314705	-0.6469292	LARGE
ILMN_2245241	3.39e-01	1.58e-01	1.436265	-5.314808	0.4041208	USH2A
ILMN_2177234	3.39e-01	1.58e-01	1.436203	-5.314893	0.4091833	DEFB104B
ILMN_2361810	3.39e-01	1.58e-01	1.436145	-5.314971	0.6429833	DRD3
ILMN_1714718	3.39e-01	1.58e-01	1.43612	-5.315005	0.4203417	CXorf59
ILMN_1661000	3.39e-01	1.58e-01	-1.436099	-5.315033	-0.6358625	RPS6KC1
ILMN_2248822	3.39e-01	1.58e-01	1.436064	-5.315081	0.5251917	APOL2
ILMN_1717295	3.39e-01	1.58e-01	1.436001	-5.315166	0.5277167	C6orf122
ILMN_3308103	3.39e-01	1.58e-01	1.435952	-5.315233	0.4116	MIR1321
ILMN_1718046	3.39e-01	1.58e-01	1.435921	-5.315275	0.3805833	ARNT2
ILMN_2185911	3.39e-01	1.58e-01	1.435914	-5.315284	0.4163375	CST4
ILMN_2297315	3.39e-01	1.58e-01	1.435894	-5.315311	0.411825	CDRT1
ILMN_1692715	3.39e-01	1.58e-01	1.435771	-5.315478	0.3987208	H2AFB3
ILMN_2095610	3.39e-01	1.58e-01	1.435766	-5.315484	0.4038792	ANXA8
ILMN_1687986	3.39e-01	1.58e-01	1.435759	-5.315494	0.7399	SLC6A20
ILMN_1672307	3.39e-01	1.58e-01	1.435728	-5.315536	0.4021792	BMX
ILMN_1661376	3.39e-01	1.58e-01	1.435694	-5.315582	0.4396958	GRIK2
ILMN_1742203	3.39e-01	1.58e-01	1.435661	-5.315627	0.4178958	DYDC1
ILMN_2288175	3.39e-01	1.58e-01	1.43566	-5.315628	0.7083375	AGPAT3
ILMN_3310080	3.39e-01	1.58e-01	-1.435597	-5.315714	-0.4196833	MIR614
ILMN_1735052	3.39e-01	1.58e-01	1.435593	-5.315719	0.5619042	ULK1
ILMN_1691743	3.39e-01	1.58e-01	1.435494	-5.315852	0.7387542	GJD3
ILMN_1804448	3.39e-01	1.59e-01	1.435432	-5.315936	0.6058708	MSI2
ILMN_1773567	3.40e-01	1.59e-01	1.435327	-5.316079	0.4943708	LAMA5
ILMN_1712095	3.40e-01	1.59e-01	-1.435313	-5.316098	-0.7429167	FOXO4
ILMN_2228196	3.40e-01	1.59e-01	-1.435204	-5.316245	-0.656175	C6orf170
ILMN_1740500	3.40e-01	1.59e-01	1.435039	-5.316469	0.7244125	TSPYL4
ILMN_2046943	3.40e-01	1.59e-01	1.434943	-5.316598	0.4155875	RBM46
ILMN_1727748	3.40e-01	1.59e-01	1.434941	-5.316601	0.4155625	LDHC
ILMN_1791211	3.40e-01	1.59e-01	1.434938	-5.316605	0.4091458	DOK2
ILMN_1694419	3.40e-01	1.59e-01	1.434771	-5.316832	0.3911125	KRTAP8-1
ILMN_3243037	3.40e-01	1.59e-01	1.434738	-5.316876	0.5551958	TDRG1
ILMN_1808846	3.40e-01	1.59e-01	1.434645	-5.317001	0.7215167	TBKBP1
ILMN_3310499	3.40e-01	1.59e-01	1.434532	-5.317155	0.4089458	MIR2115
ILMN_1683450	3.40e-01	1.59e-01	1.434529	-5.317159	0.5168167	CDCA5
ILMN_1809537	3.40e-01	1.59e-01	1.434525	-5.317164	0.5887708	MASP1
ILMN_1796950	3.40e-01	1.59e-01	1.434486	-5.317218	0.6361708	LRRC55
ILMN_1710606	3.40e-01	1.59e-01	1.434485	-5.317218	0.4073542	C8A
ILMN_1717064	3.40e-01	1.59e-01	1.434474	-5.317233	0.4909917	WDR65
ILMN_1725571	3.40e-01	1.59e-01	1.434472	-5.317236	0.5801375	DNAH10
ILMN_1719468	3.40e-01	1.59e-01	1.434466	-5.317244	0.4968208	EPM2A
ILMN_1772706	3.40e-01	1.59e-01	1.434422	-5.317303	0.7021375	C10orf32
ILMN_3308843	3.40e-01	1.59e-01	1.434392	-5.317344	0.4163125	MIR548I2
ILMN_3251464	3.40e-01	1.59e-01	1.434379	-5.317361	0.4090125	LOC150786
ILMN_1806979	3.40e-01	1.59e-01	1.434347	-5.317404	0.4181833	SLCO1A2
ILMN_1708747	3.40e-01	1.59e-01	1.434302	-5.317465	0.4223125	OR6C4
ILMN_1690278	3.40e-01	1.59e-01	1.4343	-5.317469	0.4239958	DLEC1
ILMN_1677178	3.40e-01	1.59e-01	1.434262	-5.31752	0.7107125	DEFB121
ILMN_3308718	3.40e-01	1.59e-01	1.434211	-5.317589	0.4072625	MIR1826
ILMN_2364414	3.40e-01	1.59e-01	1.434197	-5.317607	0.4043792	PCDHA6
ILMN_2361400	3.40e-01	1.59e-01	1.43401	-5.317861	0.5348292	ABCA12
ILMN_2186319	3.40e-01	1.59e-01	1.433999	-5.317876	0.3865417	TSPAN2
ILMN_3299047	3.40e-01	1.59e-01	1.433889	-5.318024	0.4394625	XAGE1C
ILMN_2122081	3.40e-01	1.59e-01	1.433823	-5.318114	0.5040167	HCG3
ILMN_2117902	3.40e-01	1.59e-01	1.433819	-5.31812	0.4171458	ARL6IP6
ILMN_3308200	3.40e-01	1.59e-01	1.433815	-5.318124	0.4106167	MIR583
ILMN_2383774	3.40e-01	1.59e-01	1.433739	-5.318227	0.5110875	TRAF3
ILMN_2216438	3.40e-01	1.59e-01	1.433732	-5.318236	0.5832708	GRK1
ILMN_2046470	3.40e-01	1.59e-01	-1.433647	-5.318352	-0.5164	DAAM1
ILMN_1752510	3.40e-01	1.59e-01	1.433618	-5.318391	0.6503292	FAM13A
ILMN_1738987	3.40e-01	1.59e-01	1.433583	-5.318438	0.3258583	HS2ST1
ILMN_1730492	3.40e-01	1.59e-01	1.433478	-5.31858	0.5411375	PROP1
ILMN_2297076	3.40e-01	1.59e-01	1.433477	-5.318581	0.4029792	MPG
ILMN_1746359	3.40e-01	1.59e-01	1.433397	-5.31869	0.6981292	RERG
ILMN_3235772	3.40e-01	1.59e-01	1.433375	-5.31872	0.554425	OR1D5
ILMN_1702789	3.40e-01	1.59e-01	1.433373	-5.318722	0.62155	KNDC1
ILMN_1742586	3.40e-01	1.59e-01	1.433306	-5.318812	0.4129375	TMPRSS11F
ILMN_1683562	3.40e-01	1.59e-01	-1.433226	-5.318921	-0.7024667	SNRPG
ILMN_2281881	3.40e-01	1.59e-01	1.433218	-5.318932	0.3992458	LRRCC1
ILMN_1805469	3.40e-01	1.59e-01	1.433199	-5.318958	0.4159833	KRTAP19-5
ILMN_1791653	3.40e-01	1.59e-01	1.433093	-5.319101	0.5598333	TRPM1
ILMN_3309239	3.40e-01	1.59e-01	1.433076	-5.319124	0.4203875	MIR620
ILMN_2223380	3.40e-01	1.59e-01	-1.433032	-5.319183	-0.487275	PPWD1
ILMN_2128931	3.40e-01	1.59e-01	1.433026	-5.319192	0.4085083	FAT2
ILMN_2125829	3.40e-01	1.59e-01	1.43295	-5.319294	0.5869208	KRTAP10-9
ILMN_1785444	3.40e-01	1.59e-01	1.432936	-5.319313	0.55505	LEMD1
ILMN_2407314	3.40e-01	1.59e-01	1.432919	-5.319336	0.4569625	CYP26A1
ILMN_1708901	3.40e-01	1.59e-01	1.432901	-5.319361	0.4077208	MAGEA10
ILMN_1704241	3.40e-01	1.59e-01	1.432883	-5.319385	0.5603833	OR52A4
ILMN_3273946	3.40e-01	1.59e-01	1.432858	-5.319419	0.3809042	CRCP
ILMN_1726280	3.40e-01	1.59e-01	1.432796	-5.319502	0.5775417	VPS13B
ILMN_2092903	3.40e-01	1.59e-01	1.432701	-5.31963	0.4546833	C20orf141
ILMN_1799424	3.40e-01	1.59e-01	1.432556	-5.319827	0.8724458	PHACTR3
ILMN_1725246	3.40e-01	1.59e-01	1.432513	-5.319884	0.669175	COG8
ILMN_2118773	3.40e-01	1.59e-01	1.43242	-5.32001	0.5147125	ASAH2B
ILMN_1667504	3.40e-01	1.59e-01	1.432373	-5.320074	0.4229583	TTN
ILMN_2249018	3.40e-01	1.59e-01	-1.432372	-5.320076	-0.689725	LOC389816
ILMN_1731213	3.40e-01	1.59e-01	1.432238	-5.320257	0.41195	TECTB
ILMN_1659106	3.40e-01	1.59e-01	1.432129	-5.320404	0.58475	PHLDA3
ILMN_1676833	3.40e-01	1.59e-01	1.432088	-5.320459	0.5427917	CYB5RL
ILMN_1712523	3.40e-01	1.59e-01	1.432078	-5.320473	0.4095875	MAP6
ILMN_2320932	3.40e-01	1.59e-01	1.432067	-5.320488	0.7524708	PAX3
ILMN_1722811	3.40e-01	1.59e-01	1.432062	-5.320494	0.5405083	CDKN1B
ILMN_1766753	3.40e-01	1.59e-01	1.432047	-5.320514	0.3736958	RBMS1
ILMN_1745765	3.40e-01	1.60e-01	1.431933	-5.320668	0.526275	RLBP1L1
ILMN_1697370	3.40e-01	1.60e-01	1.431933	-5.320669	0.4035208	CST11
ILMN_2121147	3.40e-01	1.60e-01	1.431911	-5.320697	0.4182875	C5orf36
ILMN_1709177	3.40e-01	1.60e-01	1.431852	-5.320778	0.420725	ITIH5L
ILMN_1676629	3.40e-01	1.60e-01	1.431767	-5.320892	0.5691292	INSIG2
ILMN_2135537	3.40e-01	1.60e-01	1.431744	-5.320923	0.617675	KIF2B
ILMN_1702738	3.40e-01	1.60e-01	1.431718	-5.320958	0.4142333	KLC3
ILMN_2356378	3.40e-01	1.60e-01	1.431695	-5.320989	0.4066583	SPINLW1
ILMN_3309819	3.40e-01	1.60e-01	1.431681	-5.321009	0.4149083	MIR1912
ILMN_3235185	3.40e-01	1.60e-01	-1.43163	-5.321078	-0.7436208	SNRNP200
ILMN_2118229	3.40e-01	1.60e-01	1.4316	-5.321118	0.4144167	NAPEPLD
ILMN_1688022	3.40e-01	1.60e-01	1.431549	-5.321186	0.6261875	CST5
ILMN_3243244	3.40e-01	1.60e-01	1.431509	-5.321241	0.5941875	SNORD80
ILMN_1726257	3.40e-01	1.60e-01	1.431449	-5.321322	0.4045917	SSX7
ILMN_1726745	3.40e-01	1.60e-01	1.431434	-5.321342	0.39805	TMIE
ILMN_1804316	3.40e-01	1.60e-01	1.431418	-5.321363	0.5058042	TCAP
ILMN_1692661	3.40e-01	1.60e-01	1.431395	-5.321395	0.405175	AKR1D1
ILMN_1694051	3.40e-01	1.60e-01	1.431367	-5.321433	0.4162083	OR7G2
ILMN_1682988	3.40e-01	1.60e-01	1.431321	-5.321495	0.4065542	RNF34
